subject_id,group,roi,category_id,parameter_estimate
sub-01,controls,left_IFGorb,1,0.293194860219955
sub-02,controls,left_IFGorb,1,2.13086158037186
sub-05,controls,left_IFGorb,1,3.4166886806488
sub-11,controls,left_IFGorb,1,0.134118437767029
sub-12,controls,left_IFGorb,1,-4.44661277532578
sub-13,controls,left_IFGorb,1,8.7371826171875
sub-15,controls,left_IFGorb,1,1.32755053043365
sub-20,controls,left_IFGorb,1,0.447471231222153
sub-22,controls,left_IFGorb,1,-1.87611871957779
sub-23,controls,left_IFGorb,1,-3.33311659097672
sub-24,controls,left_IFGorb,1,5.78783082962036
sub-25,controls,left_IFGorb,1,4.02122342586517
sub-01,controls,left_IFGorb,2,1.68648916482925
sub-02,controls,left_IFGorb,2,3.65455424785614
sub-05,controls,left_IFGorb,2,3.68023681640625
sub-11,controls,left_IFGorb,2,0.306289404630661
sub-12,controls,left_IFGorb,2,-4.18539428710938
sub-13,controls,left_IFGorb,2,6.86053395271301
sub-15,controls,left_IFGorb,2,0.839279308915138
sub-20,controls,left_IFGorb,2,1.16008856892586
sub-22,controls,left_IFGorb,2,-0.971597343683243
sub-23,controls,left_IFGorb,2,-0.024071216583252
sub-24,controls,left_IFGorb,2,4.49458909034729
sub-25,controls,left_IFGorb,2,1.81301778554916
sub-01,controls,left_IFGorb,3,0.0510389804840088
sub-02,controls,left_IFGorb,3,2.8127755522728
sub-05,controls,left_IFGorb,3,2.96634954214096
sub-11,controls,left_IFGorb,3,-0.815371975302696
sub-12,controls,left_IFGorb,3,-2.94149923324585
sub-13,controls,left_IFGorb,3,6.27277719974518
sub-15,controls,left_IFGorb,3,-0.417554017156363
sub-20,controls,left_IFGorb,3,0.971329338848591
sub-22,controls,left_IFGorb,3,0.607612088322639
sub-23,controls,left_IFGorb,3,-2.07384124398232
sub-24,controls,left_IFGorb,3,7.22514986991882
sub-25,controls,left_IFGorb,3,3.03321087360382
sub-01,controls,left_IFGorb,4,1.46947461739182
sub-02,controls,left_IFGorb,4,3.64152085781097
sub-05,controls,left_IFGorb,4,5.14605236053467
sub-11,controls,left_IFGorb,4,0.929346058517694
sub-12,controls,left_IFGorb,4,-0.488020479679108
sub-13,controls,left_IFGorb,4,8.19526267051697
sub-15,controls,left_IFGorb,4,2.40736627578735
sub-20,controls,left_IFGorb,4,4.08584368228912
sub-22,controls,left_IFGorb,4,1.49932950735092
sub-23,controls,left_IFGorb,4,2.10138881206512
sub-24,controls,left_IFGorb,4,6.37288808822632
sub-25,controls,left_IFGorb,4,6.71814370155334
sub-01,controls,left_IFGorb,5,-0.858919695019722
sub-02,controls,left_IFGorb,5,4.00670683383942
sub-05,controls,left_IFGorb,5,5.23169612884521
sub-11,controls,left_IFGorb,5,0.37742891907692
sub-12,controls,left_IFGorb,5,0.167311131954193
sub-13,controls,left_IFGorb,5,7.87935662269592
sub-15,controls,left_IFGorb,5,2.51239106059074
sub-20,controls,left_IFGorb,5,3.71532070636749
sub-22,controls,left_IFGorb,5,1.44543009996414
sub-23,controls,left_IFGorb,5,4.27041387557983
sub-24,controls,left_IFGorb,5,8.15793561935425
sub-25,controls,left_IFGorb,5,9.39896106719971
sub-01,controls,left_IFGorb,6,0.745192378759384
sub-02,controls,left_IFGorb,6,2.84415006637573
sub-05,controls,left_IFGorb,6,5.68810796737671
sub-11,controls,left_IFGorb,6,-1.40375417470932
sub-12,controls,left_IFGorb,6,2.65974122285843
sub-13,controls,left_IFGorb,6,5.4993839263916
sub-15,controls,left_IFGorb,6,1.85057258605957
sub-20,controls,left_IFGorb,6,3.63005721569061
sub-22,controls,left_IFGorb,6,1.30052050948143
sub-23,controls,left_IFGorb,6,-0.172756403684616
sub-24,controls,left_IFGorb,6,7.55082058906555
sub-25,controls,left_IFGorb,6,3.36655420064926
sub-03,logicians,left_IFGorb,1,5.15963089466095
sub-06,logicians,left_IFGorb,1,2.49403810501099
sub-07,logicians,left_IFGorb,1,2.09390898048878
sub-08,logicians,left_IFGorb,1,-2.27359557151794
sub-09,logicians,left_IFGorb,1,2.87341785430908
sub-10,logicians,left_IFGorb,1,1.94130688905716
sub-14,logicians,left_IFGorb,1,1.27713370323181
sub-16,logicians,left_IFGorb,1,0.646302372217178
sub-17,logicians,left_IFGorb,1,4.72127497196198
sub-18,logicians,left_IFGorb,1,0.20744501054287
sub-19,logicians,left_IFGorb,1,4.94530773162842
sub-21,logicians,left_IFGorb,1,3.35980486869812
sub-03,logicians,left_IFGorb,2,5.45850205421448
sub-06,logicians,left_IFGorb,2,4.67329895496368
sub-07,logicians,left_IFGorb,2,2.8240157365799
sub-08,logicians,left_IFGorb,2,-2.9950595498085
sub-09,logicians,left_IFGorb,2,2.64501744508743
sub-10,logicians,left_IFGorb,2,0.988914608955383
sub-14,logicians,left_IFGorb,2,0.565788611769676
sub-16,logicians,left_IFGorb,2,0.568551078438759
sub-17,logicians,left_IFGorb,2,2.7077984213829
sub-18,logicians,left_IFGorb,2,0.516827881336212
sub-19,logicians,left_IFGorb,2,6.04881072044373
sub-21,logicians,left_IFGorb,2,4.06436610221863
sub-03,logicians,left_IFGorb,3,5.43118834495544
sub-06,logicians,left_IFGorb,3,4.50395369529724
sub-07,logicians,left_IFGorb,3,3.1557149887085
sub-08,logicians,left_IFGorb,3,-1.97235685586929
sub-09,logicians,left_IFGorb,3,3.63538718223572
sub-10,logicians,left_IFGorb,3,1.21813833713531
sub-14,logicians,left_IFGorb,3,1.87047326564789
sub-16,logicians,left_IFGorb,3,0.681051984429359
sub-17,logicians,left_IFGorb,3,9.05741739273071
sub-18,logicians,left_IFGorb,3,0.445496767759323
sub-19,logicians,left_IFGorb,3,6.29173231124878
sub-21,logicians,left_IFGorb,3,1.85659021139145
sub-03,logicians,left_IFGorb,4,10.325888633728
sub-06,logicians,left_IFGorb,4,5.46550166606903
sub-07,logicians,left_IFGorb,4,2.30929145962
sub-08,logicians,left_IFGorb,4,0.882886201143265
sub-09,logicians,left_IFGorb,4,2.67729437351227
sub-10,logicians,left_IFGorb,4,3.33738017082214
sub-14,logicians,left_IFGorb,4,1.91877603530884
sub-16,logicians,left_IFGorb,4,1.81616014242172
sub-17,logicians,left_IFGorb,4,7.37030553817749
sub-18,logicians,left_IFGorb,4,1.6195028051734
sub-19,logicians,left_IFGorb,4,5.91054701805115
sub-21,logicians,left_IFGorb,4,5.55112457275391
sub-03,logicians,left_IFGorb,5,10.9009802341461
sub-06,logicians,left_IFGorb,5,3.85310876369476
sub-07,logicians,left_IFGorb,5,3.85875332355499
sub-08,logicians,left_IFGorb,5,-0.407033830881119
sub-09,logicians,left_IFGorb,5,2.51346397399902
sub-10,logicians,left_IFGorb,5,1.89700353145599
sub-14,logicians,left_IFGorb,5,2.45526611804962
sub-16,logicians,left_IFGorb,5,2.08586299419403
sub-17,logicians,left_IFGorb,5,12.5897526741028
