subject_id,group,roi,category_id,parameter_estimate
sub-03,logicians,left_IFGoper,1,7.04588508605957
sub-06,logicians,left_IFGoper,1,11.4119663238525
sub-07,logicians,left_IFGoper,1,4.42481660842896
sub-08,logicians,left_IFGoper,1,9.76137542724609
sub-09,logicians,left_IFGoper,1,0.0661874040961266
sub-10,logicians,left_IFGoper,1,6.99170684814453
sub-14,logicians,left_IFGoper,1,3.0581271648407
sub-16,logicians,left_IFGoper,1,1.70731341838837
sub-17,logicians,left_IFGoper,1,10.7405776977539
sub-18,logicians,left_IFGoper,1,11.5796604156494
sub-19,logicians,left_IFGoper,1,7.54058885574341
sub-21,logicians,left_IFGoper,1,4.96334648132324
sub-03,logicians,left_IFGoper,2,7.46440744400024
sub-06,logicians,left_IFGoper,2,10.3281383514404
sub-07,logicians,left_IFGoper,2,3.97870182991028
sub-08,logicians,left_IFGoper,2,8.39484882354736
sub-09,logicians,left_IFGoper,2,1.55207049846649
sub-10,logicians,left_IFGoper,2,2.5590648651123
sub-14,logicians,left_IFGoper,2,2.39860391616821
sub-16,logicians,left_IFGoper,2,-0.250877887010574
sub-17,logicians,left_IFGoper,2,10.7809724807739
sub-18,logicians,left_IFGoper,2,5.34262943267822
sub-19,logicians,left_IFGoper,2,7.21373748779297
sub-21,logicians,left_IFGoper,2,2.72575426101685
sub-03,logicians,left_IFGoper,3,2.80612802505493
sub-06,logicians,left_IFGoper,3,11.8377132415771
sub-07,logicians,left_IFGoper,3,4.0712628364563
sub-08,logicians,left_IFGoper,3,7.36654806137085
sub-09,logicians,left_IFGoper,3,-3.8459951877594
sub-10,logicians,left_IFGoper,3,7.68757390975952
sub-14,logicians,left_IFGoper,3,0.342371344566345
sub-16,logicians,left_IFGoper,3,0.5224369764328
sub-17,logicians,left_IFGoper,3,8.286545753479
sub-18,logicians,left_IFGoper,3,6.81348514556885
sub-19,logicians,left_IFGoper,3,9.43920230865479
sub-21,logicians,left_IFGoper,3,1.62177872657776
sub-03,logicians,left_IFGoper,4,-2.14896821975708
sub-06,logicians,left_IFGoper,4,5.44291067123413
sub-07,logicians,left_IFGoper,4,3.12870836257935
sub-08,logicians,left_IFGoper,4,7.19185018539429
sub-09,logicians,left_IFGoper,4,-2.89372801780701
sub-10,logicians,left_IFGoper,4,5.36579608917236
sub-14,logicians,left_IFGoper,4,0.702855825424194
sub-16,logicians,left_IFGoper,4,1.59122443199158
sub-17,logicians,left_IFGoper,4,7.95627117156982
sub-18,logicians,left_IFGoper,4,5.66043329238892
sub-19,logicians,left_IFGoper,4,1.73715353012085
sub-21,logicians,left_IFGoper,4,1.05885660648346
sub-03,logicians,left_pITG,1,11.8078098297119
sub-06,logicians,left_pITG,1,26.3003940582275
sub-07,logicians,left_pITG,1,33.0003280639648
sub-08,logicians,left_pITG,1,11.210262298584
sub-09,logicians,left_pITG,1,9.8125638961792
sub-10,logicians,left_pITG,1,15.8493137359619
sub-14,logicians,left_pITG,1,9.31539249420166
sub-16,logicians,left_pITG,1,0.836815297603607
sub-17,logicians,left_pITG,1,2.12297558784485
sub-18,logicians,left_pITG,1,11.2964277267456
sub-19,logicians,left_pITG,1,4.09199237823486
sub-21,logicians,left_pITG,1,12.0209579467773
sub-03,logicians,left_pITG,2,17.959623336792
sub-06,logicians,left_pITG,2,27.065092086792
sub-07,logicians,left_pITG,2,39.1779441833496
sub-08,logicians,left_pITG,2,11.6374053955078
sub-09,logicians,left_pITG,2,10.059760093689
sub-10,logicians,left_pITG,2,11.2644786834717
sub-14,logicians,left_pITG,2,4.7071967124939
sub-16,logicians,left_pITG,2,0.0688373222947121
sub-17,logicians,left_pITG,2,1.2283091545105
sub-18,logicians,left_pITG,2,6.89971399307251
sub-19,logicians,left_pITG,2,0.42436021566391
sub-21,logicians,left_pITG,2,10.501148223877
sub-03,logicians,left_pITG,3,4.0881404876709
sub-06,logicians,left_pITG,3,17.7026519775391
sub-07,logicians,left_pITG,3,38.3259887695312
sub-08,logicians,left_pITG,3,-2.7771258354187
sub-09,logicians,left_pITG,3,0.929193496704102
sub-10,logicians,left_pITG,3,5.8931827545166
sub-14,logicians,left_pITG,3,4.50111865997314
sub-16,logicians,left_pITG,3,2.46001553535461
sub-17,logicians,left_pITG,3,-1.68884921073914
sub-18,logicians,left_pITG,3,0.163081452250481
sub-19,logicians,left_pITG,3,3.81411957740784
sub-21,logicians,left_pITG,3,4.39638423919678
sub-03,logicians,left_pITG,4,-2.54155850410461
sub-06,logicians,left_pITG,4,14.1871938705444
sub-07,logicians,left_pITG,4,15.380916595459
sub-08,logicians,left_pITG,4,2.18114113807678
sub-09,logicians,left_pITG,4,-4.2488374710083
sub-10,logicians,left_pITG,4,1.66568660736084
sub-14,logicians,left_pITG,4,5.02382946014404
sub-16,logicians,left_pITG,4,1.46790766716003
sub-17,logicians,left_pITG,4,-4.4769082069397
sub-18,logicians,left_pITG,4,1.73949098587036
sub-19,logicians,left_pITG,4,0.32183963060379
sub-21,logicians,left_pITG,4,7.09183359146118
sub-03,logicians,left_IPS,1,2.94587373733521
sub-06,logicians,left_IPS,1,53.4663925170898
sub-07,logicians,left_IPS,1,17.1780128479004
sub-08,logicians,left_IPS,1,17.3461017608643
sub-09,logicians,left_IPS,1,12.3104181289673
sub-10,logicians,left_IPS,1,25.6992053985596
sub-14,logicians,left_IPS,1,-0.656625330448151
