subject_id,group,roi,category_id,parameter_estimate
sub-01,controls,left_MFG,1,1.47881726920605
sub-02,controls,left_MFG,1,1.12028914690018
sub-05,controls,left_MFG,1,-0.00833734124898911
sub-11,controls,left_MFG,1,2.98962637409568
sub-12,controls,left_MFG,1,1.97740735858679
sub-13,controls,left_MFG,1,0.647591590881348
sub-15,controls,left_MFG,1,-1.46356056258082
sub-20,controls,left_MFG,1,-0.0138992518186569
sub-22,controls,left_MFG,1,4.08867449313402
sub-23,controls,left_MFG,1,2.01990716625005
sub-24,controls,left_MFG,1,2.0080638974905
sub-25,controls,left_MFG,1,0.637069560587406
sub-01,controls,left_MFG,2,0.678160794079304
sub-02,controls,left_MFG,2,1.14894250035286
sub-05,controls,left_MFG,2,0.814145050011575
sub-11,controls,left_MFG,2,2.33363259397447
sub-12,controls,left_MFG,2,1.43540933728218
sub-13,controls,left_MFG,2,0.0489798188209534
sub-15,controls,left_MFG,2,-1.91947236657143
sub-20,controls,left_MFG,2,0.517080396413803
sub-22,controls,left_MFG,2,4.95906841754913
sub-23,controls,left_MFG,2,1.26928368210793
sub-24,controls,left_MFG,2,1.91134211421013
sub-25,controls,left_MFG,2,-0.407620623707771
sub-01,controls,left_MFG,3,0.691077224910259
sub-02,controls,left_MFG,3,-0.173604425042868
sub-05,controls,left_MFG,3,0.983147881925106
sub-11,controls,left_MFG,3,2.71831893920898
sub-12,controls,left_MFG,3,0.518221199512482
sub-13,controls,left_MFG,3,-0.269447557628155
sub-15,controls,left_MFG,3,-0.807387575507164
sub-20,controls,left_MFG,3,0.709870602935553
sub-22,controls,left_MFG,3,5.40061217546463
sub-23,controls,left_MFG,3,1.97989903390408
sub-24,controls,left_MFG,3,1.83580237627029
sub-25,controls,left_MFG,3,-0.596426481381059
sub-01,controls,left_MFG,4,-0.389064341783524
sub-02,controls,left_MFG,4,1.85259813070297
sub-05,controls,left_MFG,4,0.819542035460472
sub-11,controls,left_MFG,4,1.38079828023911
sub-12,controls,left_MFG,4,6.55008888244629
sub-13,controls,left_MFG,4,1.69887813925743
sub-15,controls,left_MFG,4,-0.140323027968407
sub-20,controls,left_MFG,4,0.981174141168594
sub-22,controls,left_MFG,4,3.70573821663857
sub-23,controls,left_MFG,4,1.4687196277082
sub-24,controls,left_MFG,4,1.79858076572418
sub-25,controls,left_MFG,4,2.142393425107
sub-01,controls,left_MFG,5,2.51988565921783
sub-02,controls,left_MFG,5,1.44343873858452
sub-05,controls,left_MFG,5,1.25572882965207
sub-11,controls,left_MFG,5,2.80901342630386
sub-12,controls,left_MFG,5,4.35221940279007
sub-13,controls,left_MFG,5,1.7778177857399
sub-15,controls,left_MFG,5,-1.21740314364433
sub-20,controls,left_MFG,5,0.466463007032871
sub-22,controls,left_MFG,5,5.31921435892582
sub-23,controls,left_MFG,5,2.03979322314262
sub-24,controls,left_MFG,5,1.66716320812702
sub-25,controls,left_MFG,5,2.14362302422523
sub-01,controls,left_MFG,6,-1.28094707429409
sub-02,controls,left_MFG,6,0.708275657147169
sub-05,controls,left_MFG,6,0.800839126110077
sub-11,controls,left_MFG,6,3.24906751513481
sub-12,controls,left_MFG,6,1.13153983093798
sub-13,controls,left_MFG,6,0.409085806459188
sub-15,controls,left_MFG,6,-3.02369207143784
sub-20,controls,left_MFG,6,-0.271837215870619
sub-22,controls,left_MFG,6,2.24627614580095
sub-23,controls,left_MFG,6,0.514625146985054
sub-24,controls,left_MFG,6,0.923433363437653
sub-25,controls,left_MFG,6,-0.0396617576479912
sub-03,logicians,left_MFG,1,3.67787669599056
sub-06,logicians,left_MFG,1,0.0824681520462036
sub-07,logicians,left_MFG,1,5.11417806148529
