subject,maps,hemisphere,dice
sub-03,logic_calculation,bilateral,0.2061
sub-03,logic_calculation,LH,0.2494
sub-03,logic_calculation,RH,0.1627
sub-03,logic_language,bilateral,0.0201
sub-03,gk_language,bilateral,0.1681
sub-06,logic_calculation,bilateral,0.0962
sub-06,logic_calculation,LH,0.1901
sub-06,logic_calculation,RH,0.0049
sub-06,logic_language,bilateral,0.0034
sub-06,gk_language,bilateral,0.056
sub-07,logic_calculation,bilateral,0.1879
sub-07,logic_calculation,LH,0.2531
sub-07,logic_calculation,RH,0.0175
sub-07,logic_language,bilateral,0.0011
sub-07,gk_language,bilateral,0.061
sub-08,logic_calculation,bilateral,0.1411
sub-08,logic_calculation,LH,0.1559
sub-08,logic_calculation,RH,0.1392
sub-08,logic_language,bilateral,0.0008
sub-08,gk_language,bilateral,0.0296
sub-09,logic_calculation,bilateral,0.2239
sub-09,logic_calculation,LH,0.3013
sub-09,logic_calculation,RH,0.1493
sub-09,logic_language,bilateral,0.0003
sub-09,gk_language,bilateral,0.1012
sub-10,logic_calculation,bilateral,0.2017
sub-10,logic_calculation,LH,0.2656
sub-10,logic_calculation,RH,0.027
sub-10,logic_language,bilateral,0.0034
sub-10,gk_language,bilateral,0.0442
sub-14,logic_calculation,bilateral,0.0264
sub-14,logic_calculation,LH,0.0466
sub-14,logic_calculation,RH,0.0217
sub-14,logic_language,bilateral,0
sub-14,gk_language,bilateral,0.1075
sub-16,logic_calculation,bilateral,0.0387
sub-16,logic_calculation,LH,0.0131
sub-16,logic_calculation,RH,0.0863
sub-16,logic_language,bilateral,0.0021
sub-16,gk_language,bilateral,0.0398
sub-18,logic_calculation,bilateral,0.1737
sub-18,logic_calculation,LH,0.2782
sub-18,logic_calculation,RH,0.0463
sub-18,logic_language,bilateral,0
sub-18,gk_language,bilateral,0.0463
sub-19,logic_calculation,bilateral,0
sub-19,logic_calculation,LH,0
sub-19,logic_calculation,RH,0
sub-19,logic_language,bilateral,0.0649
sub-19,gk_language,bilateral,0
sub-21,logic_calculation,bilateral,0.0525
sub-21,logic_calculation,LH,0.0796
sub-21,logic_calculation,RH,0.004
sub-21,logic_language,bilateral,0.0028
sub-21,gk_language,bilateral,0.2671
