Subject,Group,Extent_Left,Extent_Right,PeakT_Left,PeakT_Right,MeanT_Left,MeanT_Right
2,control,19,5,3.64749693870544,3.58322548866272,2.77946764544437,3.00441341400146
5,control,308,107,5.17352819442749,4.71648216247559,3.2378028762805,2.81674982008533
11,control,289,218,6.17771196365356,5.68063116073608,3.6552158202267,3.65779447555542
12,control,194,35,3.88917636871338,3.13750839233398,2.73913509452466,2.5907237802233
13,control,154,49,4.28879261016846,3.95076203346252,3.04405061455516,2.97331098147801
15,control,254,190,5.59461307525635,4.78255081176758,3.37307470239054,3.05182919125808
20,control,282,234,5.26264047622681,7.03880500793457,3.04404622189542,3.15608149308425
22,control,85,185,4.84207439422607,5.17210626602173,3.11852731985204,3.15139530284985
23,control,0,74,NaN,4.42675304412842,NaN,2.92948604596628
24,control,148,128,3.57837414741516,5.01814603805542,2.78968484498359,3.44476492144167
25,control,309,247,4.95265769958496,5.63746500015259,3.07654355953426,3.11204955452367
3,logician,515,255,5.60250616073608,6.13706493377686,3.3438508380964,3.33483030188317
6,logician,10,14,3.10879397392273,3.51522588729858,2.58153080940247,2.85492673942021
7,logician,487,536,6.62370634078979,6.01296710968018,3.48983872989365,3.26191550938051
8,logician,194,163,4.4134521484375,4.50543928146362,2.96137379002325,3.01572737810802
9,logician,21,92,4.20285797119141,4.56394290924072,3.09706180436271,3.05991531454999
10,logician,51,214,3.94202375411987,7.28134918212891,3.03943019287259,3.89667575047395
14,logician,110,209,4.38855123519897,4.82461738586426,2.82468421675942,3.08558387049077
16,logician,152,270,4.45524072647095,5.68711471557617,3.00996937720399,3.05365122777444
18,logician,63,2,3.47326278686523,3.09226822853088,2.8014906966497,2.87218189239502
19,logician,267,519,5.40991067886353,8.22696971893311,3.33592703726408,3.8300311689432
21,logician,277,420,4.98843288421631,5.90652704238892,3.10168197783322,3.54265821774801
